year	category	text	frequency	sentiment
2004	miscellaneous	mlk day	6	0.5
2004	miscellaneous	postcold war	6	0.20029999999999995
2004	miscellaneous	texasbased	6	0.5
2004	miscellaneous	media matters	6	0.5129
2004	miscellaneous	doj	6	0.5
2004	miscellaneous	raw story	6	0.5
2004	miscellaneous	the oreilly factor	5	0.5
2004	miscellaneous	wmd	5	0.5
2004	miscellaneous	floridabased	5	0.5
2004	miscellaneous	gmt	5	0.5
2004	miscellaneous	village voice	5	0.5
2004	miscellaneous	antichristian	5	0.5
2004	miscellaneous	department	5	0.5
2004	miscellaneous	iraqi freedom	5	0.81845
2004	miscellaneous	democratic senators	5	0.5
2004	miscellaneous	tonight show	5	0.5
2004	miscellaneous	city	5	0.5
2004	miscellaneous	deep throat	5	0.5
2004	miscellaneous	persian gulf war	5	0.20029999999999998
2004	miscellaneous	satanic	5	0.5
2004	miscellaneous	convention	5	0.5
2004	miscellaneous	internets	4	0.5
2004	miscellaneous	antikerry	4	0.5
2004	miscellaneous	truth	4	0.6591
2004	miscellaneous	pew	4	0.5
2004	miscellaneous	mr bush	4	0.5
2004	miscellaneous	swift	4	0.60115
2004	miscellaneous	dnc	4	0.5
2004	miscellaneous	africans	3	0.5
2004	miscellaneous	marriott	3	0.5
2004	miscellaneous	duelfer	3	0.5
2004	miscellaneous	romans	3	0.5
2004	miscellaneous	boss	3	0.5
2004	miscellaneous	philippine	3	0.5
2004	miscellaneous	nd airborne division	3	0.5
2004	miscellaneous	fitzgerald	3	0.5
2004	miscellaneous	rummy	3	0.5
2004	miscellaneous	happy holidays	3	0.8714999999999998
2004	miscellaneous	stolen honor	3	0.5
2004	miscellaneous	swift boat veterans	2	0.60115
2004	miscellaneous	nightly news	2	0.5
2004	miscellaneous	long war	2	0.20029999999999998
2004	miscellaneous	special report	2	0.70095
2004	miscellaneous	slayer	2	0.5
2004	miscellaneous	cavalry division	2	0.5
2004	miscellaneous	alabamabased	2	0.5
